,date,unit_price,quantity,rating,day,month,year,total
0,2019-01-01,57.44,37,6.3,1,1,2019,2371.3199999999997
1,2019-01-02,42.065,7,5.65,2,1,2019,307.05150000000003
2,2019-01-03,53.376666666666665,19,7.5,3,1,2019,937.4085
3,2019-01-04,28.255,15,7.4,4,1,2019,483.26250000000005
4,2019-01-05,68.974,27,6.220000000000001,5,1,2019,2024.505
5,2019-01-06,44.468,25,8.280000000000001,6,1,2019,1309.9695000000002
6,2019-01-07,53.403333333333336,22,7.866666666666667,7,1,2019,1105.9544999999998
7,2019-01-08,44.93,14,7.1,8,1,2019,683.4555
8,2019-01-09,38.54,5,5.6,9,1,2019,202.335
9,2019-01-10,45.53999999999999,15,6.033333333333334,10,1,2019,731.4929999999999
10,2019-01-11,59.294999999999995,31,6.616666666666667,11,1,2019,1661.667
11,2019-01-12,46.03333333333334,29,7.3,12,1,2019,1429.0394999999999
12,2019-01-13,47.417500000000004,25,6.875,13,1,2019,1112.4015
13,2019-01-14,76.37,15,5.7,14,1,2019,1096.095
14,2019-01-15,52.878,33,7.12,15,1,2019,1806.6615
15,2019-01-16,78.37,12,6.4,16,1,2019,863.058
16,2019-01-17,46.835,26,7.875,17,1,2019,1502.2245
17,2019-01-18,55.72,23,8.825,18,1,2019,1159.83
18,2019-01-19,53.925,56,6.6375,19,1,2019,3254.4855
19,2019-01-20,71.2175,24,6.5,20,1,2019,1724.961
20,2019-01-21,59.074,24,7.959999999999999,21,1,2019,1591.737
21,2019-01-22,52.675,12,9.25,22,1,2019,802.2735
22,2019-01-23,59.26714285714286,36,6.5,23,1,2019,2361.3135
23,2019-01-24,60.426,39,6.1,24,1,2019,2459.184
24,2019-01-25,50.738,21,7.359999999999999,25,1,2019,913.8255
25,2019-01-26,28.366666666666664,9,6.533333333333334,26,1,2019,415.00199999999995
26,2019-01-27,51.958333333333336,29,8.25,27,1,2019,1674.2775
27,2019-01-28,17.855,15,8.95,28,1,2019,287.8575
28,2019-01-29,51.830000000000005,24,6.640000000000001,29,1,2019,1524.915
29,2019-01-30,93.78,3,5.9,30,1,2019,295.407
30,2019-01-31,46.15333333333333,13,7.333333333333333,31,1,2019,588.1575
31,2019-02-01,53.81,16,7.1000000000000005,1,2,2019,911.9354999999999
32,2019-02-02,30.985,29,6.35,2,2,2019,1019.9594999999999
33,2019-02-03,67.88199999999999,37,5.959999999999999,3,2,2019,2717.358
34,2019-02-04,52.688,24,7.959999999999999,4,2,2019,1239.3885
35,2019-02-05,48.104,13,6.82,5,2,2019,568.428
36,2019-02-06,36.56,11,6.25,6,2,2019,423.192
37,2019-02-07,60.089999999999996,28,7.5200000000000005,7,2,2019,2066.61
38,2019-02-08,68.33,18,7.833333333333333,8,2,2019,1694.3535
39,2019-02-09,29.706666666666667,20,5.5,9,2,2019,598.08
40,2019-02-10,50.6125,23,8.2,10,2,2019,1022.6685
41,2019-02-11,87.42,7,6.6,11,2,2019,650.244
42,2019-02-12,48.00333333333333,13,7.633333333333333,12,2,2019,557.1195
43,2019-02-13,54.535,5,6.85,13,2,2019,216.111
