,date,unit_price,quantity,rating,day,month,year,total
0,2019-01-01,48.0725,20,6.375,1,1,2019,837.165
1,2019-01-02,65.745,10,6.15,2,1,2019,475.65000000000003
2,2019-01-03,48.5,3,8.399999999999999,3,1,2019,124.02600000000001
3,2019-01-04,66.65,9,9.7,4,1,2019,629.8425
4,2019-01-05,53.557500000000005,17,8.575,5,1,2019,1025.4195
5,2019-01-06,85.58000000000001,14,9.35,6,1,2019,1282.596
6,2019-01-07,39.053333333333335,14,7.066666666666666,7,1,2019,386.379
7,2019-01-08,45.385,44,6.4125,8,1,2019,2401.329
8,2019-01-09,61.193999999999996,42,6.94,9,1,2019,2650.4835
9,2019-01-10,69.47333333333334,21,5.633333333333333,10,1,2019,1480.857
10,2019-01-11,61.965,9,8.55,11,1,2019,453.2955
11,2019-01-12,77.31,17,7.25,12,1,2019,1443.5819999999999
12,2019-01-13,45.660000000000004,15,6.0,13,1,2019,603.6975
13,2019-01-14,56.085,31,7.1499999999999995,14,1,2019,1679.034
14,2019-01-15,51.51333333333334,22,7.633333333333333,15,1,2019,1275.2355
15,2019-01-16,54.814,37,7.08,16,1,2019,2540.475
16,2019-01-17,66.79666666666667,9,5.066666666666666,17,1,2019,647.367
17,2019-01-18,63.596666666666664,17,6.166666666666667,18,1,2019,1344.2835
18,2019-01-19,65.688,18,8.68,19,1,2019,1026.753
19,2019-01-20,62.97,27,7.75,20,1,2019,1700.202
20,2019-01-21,84.08500000000001,7,5.15,21,1,2019,697.326
21,2019-01-22,47.093333333333334,11,7.966666666666666,22,1,2019,399.37800000000004
22,2019-01-23,60.218999999999994,59,7.3,23,1,2019,3632.874
23,2019-01-24,73.295,4,5.3,24,1,2019,333.93149999999997
24,2019-01-25,59.06,31,6.8,25,1,2019,2185.2915
25,2019-01-26,45.1275,19,7.3,26,1,2019,839.2334999999999
26,2019-01-27,49.81333333333333,44,7.8500000000000005,27,1,2019,2043.1425
27,2019-01-28,49.596666666666664,31,6.816666666666667,28,1,2019,1581.4785000000002
28,2019-01-29,40.085,23,7.725,29,1,2019,1045.0965
29,2019-01-30,54.63666666666666,24,6.5,30,1,2019,1807.1970000000001
30,2019-01-31,55.4225,31,8.425,31,1,2019,1862.0595
31,2019-02-01,63.78,24,6.5,1,2,2019,1532.601
32,2019-02-02,62.46,23,7.216666666666666,2,2,2019,1511.706
33,2019-02-03,63.800000000000004,26,7.375,3,2,2019,1713.075
34,2019-02-04,13.915,10,7.9,4,2,2019,145.5615
35,2019-02-05,70.85249999999999,21,8.85,5,2,2019,1473.0555
36,2019-02-06,67.14666666666666,23,7.383333333333333,6,2,2019,1401.561
37,2019-02-07,44.34111111111111,52,7.888888888888889,7,2,2019,2438.289
38,2019-02-08,66.44333333333333,22,7.633333333333333,8,2,2019,1634.85
39,2019-02-09,36.655,33,6.366666666666667,9,2,2019,1628.697
40,2019-02-10,61.66,19,6.866666666666667,10,2,2019,1429.995
