iter	RMSE
0	815.0463709
1	812.7809317
2	810.740559
3	808.0471632
4	805.6211301
5	803.0273643
6	800.6208516
7	797.6396437
8	794.5347848
9	792.9529939
10	791.284741
11	789.1223912
12	787.4121774
13	785.3366218
14	783.5431111
15	781.613917
16	777.6831895
17	773.6725643
18	771.5449593
19	768.0493279
20	766.573513
21	764.1547542
22	761.9434909
23	759.8097511
24	756.7249887
25	754.2741102
26	752.3106607
27	750.3533711
28	748.5689241
29	746.695801
30	744.5722818
31	742.5323702
32	739.7516812
33	737.8593717
34	735.4861594
35	734.3165309
36	731.5467449
37	729.091344
38	726.8359213
39	724.8779142
40	722.9882001
41	720.2417497
42	718.5427281
43	716.8630852
44	715.253541
45	712.6612025
46	711.3457299
47	708.9023398
48	707.464153
49	704.2332446
50	701.7250512
51	700.0211128
52	698.7350118
53	696.6615716
54	694.7460049
55	692.8076898
56	690.1893496
57	687.5256994
58	685.6965276
59	682.7505987
60	680.9817184
61	678.8408421
62	677.46763
63	675.3302421
64	673.4930806
65	671.5689425
66	670.5099237
67	668.9470656
68	666.7220951
69	665.2351243
70	663.2106138
71	660.775171
72	658.3490035
73	656.3911724
74	654.1810017
75	651.2937905
76	650.2133038
77	647.8004766
78	645.9235245
79	643.9469816
80	642.242327
81	640.9278852
82	639.0751104
83	637.9980293
84	636.8253516
85	635.4287392
86	632.6533795
87	630.5564584
88	629.0470531
89	626.0910443
90	624.5819627
91	622.9247573
92	621.6811946
93	620.423672
94	618.1105493
95	617.1148371
96	615.1344664
97	613.8386759
98	612.125578
99	610.7216422
100	607.1140329
101	605.8564839
102	604.4407906
103	602.7421017
104	601.2339681
105	600.3587994
106	598.3702195
107	597.2135546
108	595.1321406
109	594.2121852
110	592.8820375
111	590.3948993
112	588.2223654
113	586.7633906
114	585.4851773
115	583.8805881
116	581.6479573
117	580.6107072
118	578.258907
119	576.7633291
120	575.7571697
121	574.2672305
122	572.449396
123	571.6820247
124	570.6172079
125	569.8794191
126	567.6019921
127	565.4189438
128	564.0677715
129	561.9118674
130	560.8363793
131	558.5464201
132	556.1895506
133	555.1307677
134	554.0432965
135	552.4954679
136	551.4411345
137	549.8953678
138	547.1459931
139	546.1059227
140	544.5614817
141	543.4785302
142	542.0949659
143	541.5617724
144	540.0003685
145	538.2886675
146	537.1091631
147	535.4463375
148	534.0033368
149	532.7795088
150	530.8650695
151	529.5504344
152	527.9757031
153	526.5336971
154	524.6797408
155	523.0578793
156	521.2576727
157	519.1769228
158	518.0449688
159	516.5998998
160	515.1004192
161	513.8810392
162	512.6466973
163	511.3806035
164	509.7748387
165	508.0777221
166	507.3107216
167	506.1809067
168	505.08465
169	504.1689006
170	502.7092308
171	501.1757398
172	499.6772721
173	497.1502714
174	495.5641515
175	493.7482624
176	492.7011754
177	490.5358076
178	489.201267
179	488.3237426
180	486.9546717
181	485.5007674
182	484.7903727
183	483.4712332
184	482.755522
185	481.9971625
186	480.5814212
187	479.0710017
188	477.3412348
189	476.5034047
190	475.6803548
191	474.7294274
192	472.7497914
193	471.6253777
194	470.3868149
195	469.0610971
196	468.2642762
197	467.0771338
198	466.3386681
199	465.1577097
200	464.4919575
201	462.7340571
202	462.3232289
203	461.4531128
204	460.5864794
205	459.8237342
206	458.4150363
207	457.1727928
208	455.9670025
209	454.5279522
210	452.7680397
211	451.2013777
212	449.5725586
213	447.4996729
214	445.556295
215	444.832373
216	443.7664666
217	442.7541311
218	441.8879746
219	439.2919203
220	438.2404853
221	437.1716248
222	435.6566931
223	434.668607
224	433.4937075
225	431.8441463
226	430.3583535
227	429.2258539
228	428.0576561
229	427.5240932
230	426.7140658
231	424.655787
232	423.2122837
233	421.2760136
234	419.9671689
235	418.2009839
236	417.3625624
237	416.38183
238	414.347318
239	413.8979346
240	413.2742943
241	412.0034406
242	410.3672702
243	408.9336535
244	407.3916759
245	406.2748163
246	404.7739089
247	403.4537877
248	401.8897558
249	401.3267314
250	400.6735195
251	399.1662051
252	397.7073245
253	396.7248473
254	396.1839785
255	395.0325144
256	393.7363435
257	392.8424589
258	391.9669431
259	390.2452309
260	389.6509281
261	387.7806515
262	387.0940305
263	386.2231044
264	385.6263354
265	384.048575
266	382.8599271
267	381.5500109
268	380.1292353
269	378.1396837
270	377.347953
271	376.1483092
272	374.8333468
273	374.0583418
274	372.8972975
275	371.3475057
276	370.9608988
277	370.566239
278	369.8765601
279	368.276039
280	367.8724822
281	366.4176823
282	364.6388984
283	363.4305861
284	362.699532
285	361.6899441
286	361.024579
287	360.2698164
288	359.7447292
289	358.1838677
290	357.1482063
291	356.3129714
292	355.9764478
293	354.621211
294	352.634104
295	352.4445305
296	351.6922806
297	349.9894158
298	348.7092049
299	347.4745215
300	346.3201259
301	345.1595099
302	344.9013024
303	343.8934814
304	342.7916743
305	341.3766705
306	340.6166058
307	339.2028673
308	338.4655084
309	336.7492695
310	336.2388249
311	335.7562154
312	335.1255282
313	334.8236675
314	333.7778779
315	333.5837953
316	332.3751986
317	330.6863082
318	329.7187135
319	328.7502919
320	328.1671226
321	326.995543
322	326.401091
323	325.5991399
324	324.4550305
325	324.2024651
326	323.5729055
327	322.8890818
328	322.4379427
329	322.0374041
330	321.1368899
331	320.1823115
332	319.3933262
333	318.6860998
334	317.4732263
335	316.3557484
336	315.2802076
337	314.5849754
338	313.1891139
339	312.1804582
340	311.496908
341	310.1303785
342	309.0502589
343	308.2309601
344	307.4919622
345	305.6771119
346	304.7658291
347	304.2495186
348	303.9860681
349	302.7625885
350	301.7840192
351	301.3972005
352	300.9935409
353	300.0999089
354	299.5809067
355	299.3084233
356	298.7566757
357	298.0515665
