iter	Passed	Remaining
0	2	240
1	3	148
2	3	120
3	4	102
4	4	94
5	5	84
6	6	83
7	7	81
8	8	80
9	8	79
10	9	78
11	10	77
12	11	78
13	12	76
14	13	74
15	13	72
16	14	71
17	15	69
18	15	68
19	16	67
20	17	66
21	18	65
22	19	64
23	19	63
24	20	62
25	21	61
26	22	60
27	23	59
28	23	58
29	24	56
30	24	55
31	25	54
32	26	53
33	26	52
34	27	51
35	28	50
36	28	49
37	29	48
38	30	47
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	42
45	35	41
46	36	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	63	13
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	68	8
89	69	7
90	70	6
91	71	6
92	72	5
93	73	4
94	74	3
95	75	3
96	76	2
97	77	1
98	78	0
99	78	0
