iter	RMSE
0	783.557395
1	769.8227039
2	757.2086377
3	745.8270888
4	732.6363788
5	718.8868443
6	706.6839624
7	698.3963569
8	690.0331028
9	678.7028298
10	668.0899256
11	654.9245843
12	644.0522734
13	631.8453194
14	620.511651
15	611.5757805
16	603.6671351
17	594.7492879
18	584.3324299
19	576.8172897
20	569.8374561
21	560.9837155
22	552.5782826
23	543.4477621
24	536.4195055
25	527.4359582
26	518.6033876
27	511.1157779
28	504.3929906
29	495.9095204
30	488.6232364
31	480.7775452
32	472.8913033
33	466.7138803
34	459.3510156
35	452.1446777
36	443.8247787
37	437.3863896
38	433.5722444
39	427.9899792
40	420.6376234
41	414.2926026
42	408.9498973
43	402.915603
44	399.3508277
45	393.2674075
46	386.6304758
47	381.5591477
48	378.169561
49	372.2980942
50	367.4257773
51	361.9888881
52	357.5398472
53	353.6823946
54	348.7246634
55	344.5887578
56	340.2769234
57	336.0042685
58	332.0121219
59	328.4956542
60	324.2521766
61	320.1182807
62	315.0907353
63	310.8374377
64	307.4653924
65	303.4966797
66	299.7060318
67	297.1075033
68	294.3881421
69	291.9945251
70	288.4819893
71	285.918141
72	283.0906504
73	280.3003595
74	277.0253963
75	274.1921817
76	270.7545364
77	267.9548781
78	265.1424511
79	262.0148419
80	259.5744132
81	257.0732922
82	254.585791
83	251.7422992
84	249.5482706
85	246.5879287
86	243.9693521
87	241.6175506
88	239.2053394
89	237.0946405
90	234.801108
91	232.0241368
92	230.2754096
93	227.8304189
94	225.204215
95	222.3398898
96	221.0336514
97	219.5714105
98	217.1824811
99	215.2042419
100	213.6529248
101	211.7520998
102	209.9288213
103	207.9356115
104	205.8902385
105	203.8759203
106	202.0599042
107	200.5010367
108	198.4098612
109	196.7514797
110	195.1668213
111	193.9504268
112	192.5150728
113	191.2921267
114	189.477931
115	187.7570465
116	185.9018843
117	184.2610784
118	182.9097835
119	181.3556046
120	179.8303162
121	178.2845426
122	176.8499318
123	174.9131055
124	173.307656
125	172.2302586
126	170.9234123
127	169.5718055
128	168.3511985
129	166.9078138
130	165.5890136
131	164.2778442
132	162.7907633
133	161.6156215
134	160.217519
135	158.9311115
136	158.0279493
137	156.9764092
138	156.2403332
139	155.3206882
140	154.0463786
141	153.0098011
142	151.9597306
143	151.3014406
144	150.5333634
145	149.594532
146	148.5056581
147	147.3255103
148	146.2350593
149	144.9025542
150	143.7566343
151	142.6828929
152	141.4123972
153	140.4767195
154	139.4669896
155	138.7206849
156	137.8971046
157	136.8290958
158	135.7914008
159	134.8748511
160	134.139575
161	133.447655
162	132.4729345
163	131.4354523
164	130.4768027
165	129.7910382
166	128.8937938
167	127.8359836
168	126.9071798
169	126.1668911
170	125.2961687
171	124.409609
172	123.90009
173	123.2899989
174	122.7532309
175	122.2342748
176	121.4063056
177	120.7266395
178	120.1807891
179	119.5662583
180	118.8353425
181	118.2389014
182	117.4134061
183	116.7810849
184	116.1037006
185	115.471423
186	114.7634386
187	114.022776
188	113.4064452
189	112.8282812
190	112.363653
191	111.8696158
192	111.302567
193	110.8260747
194	110.2600373
195	109.5450263
196	108.9712812
197	108.4690301
198	107.9776898
199	107.3682019
200	106.7493861
201	106.1454654
202	105.5868399
203	105.0213609
204	104.4881518
205	104.1203186
206	103.6591898
207	103.2958215
208	102.9404106
209	102.4628939
210	101.8420163
211	101.345666
212	100.9785011
213	100.5573945
214	100.1308211
215	99.74577096
216	99.3308745
217	99.00492031
218	98.47097625
219	97.80983552
220	97.23005341
221	96.79478735
222	96.44158251
223	95.98235842
224	95.63291956
225	95.25990061
226	94.90053132
227	94.41308035
228	94.01114332
229	93.64682244
230	93.2052613
231	92.79671995
232	92.47048953
233	91.99997838
234	91.38099878
235	91.08640867
236	90.58774457
237	90.09606035
238	89.55995244
239	89.13669386
240	88.75748254
241	88.29168676
242	87.96109662
243	87.52937022
244	87.2620556
245	86.92086705
246	86.67116055
247	86.39715772
248	86.09975587
249	85.74373264
250	85.34531091
251	85.01244395
252	84.63317474
253	84.25248723
254	84.05564215
255	83.78980112
256	83.43660486
257	83.04846803
258	82.76038716
259	82.585036
260	82.265116
261	82.01590021
262	81.71530753
263	81.473524
264	81.27071375
265	80.98526773
266	80.67526131
267	80.38091554
268	79.78805057
269	79.59855737
270	79.22058944
271	78.94526897
272	78.47709074
273	78.147319
274	77.72413351
275	77.32963205
276	77.03611524
277	76.67489368
278	76.29265593
279	76.03952787
280	75.85126539
281	75.52997222
282	75.24375275
283	74.88077623
284	74.69431233
285	74.45637941
286	74.12732908
287	73.75675516
288	73.4168154
289	73.26934992
290	72.99579776
291	72.84616005
292	72.45948743
293	72.19182557
294	71.7343178
295	71.52199745
296	71.22659089
297	71.0466934
298	70.87197505
299	70.81887467
300	70.53268809
301	70.40391546
302	70.11143815
303	70.00654843
304	69.72796491
305	69.52655193
306	69.40040212
307	69.15310795
308	69.04431888
309	68.7949379
310	68.61893264
311	68.29880027
312	68.19355931
313	68.07640072
314	67.94014122
315	67.85955964
316	67.44193042
317	67.16550849
318	66.80921604
319	66.56083269
320	66.34866846
321	65.92093842
322	65.6988738
323	65.38030351
324	65.18383779
325	64.66544934
326	64.40544888
327	64.01728481
328	63.9171272
329	63.71783196
330	63.37337977
331	62.95312049
332	62.73666634
333	62.63958244
334	62.30518547
335	62.10548194
336	61.89870577
337	61.59921644
338	61.2114939
339	61.00333366
340	60.6263971
341	60.33607167
342	59.99225573
343	59.86505954
344	59.62404002
345	59.390589
346	59.09081563
347	58.95642386
348	58.87214379
349	58.79478387
350	58.5018061
351	58.20316653
352	57.93474353
353	57.59293835
354	57.29212937
355	57.2113805
356	56.87954532
357	56.7809933
358	56.55907431
359	56.4665387
360	56.26077185
361	56.10612454
362	55.76605605
363	55.47240215
364	55.23872017
365	54.97329644
366	54.85031417
367	54.80124289
368	54.63814019
369	54.56542371
370	54.24634132
371	53.96962615
372	53.91342381
373	53.82729408
374	53.63930137
375	53.39648094
376	53.30381543
377	53.03332775
378	52.70393675
379	52.39827644
380	52.15707413
381	52.08024487
382	51.83542564
383	51.51879528
384	51.27656793
385	50.92871598
386	50.86286818
387	50.8136498
388	50.64526
389	50.52442319
390	50.21526022
391	50.13498654
392	49.924297
393	49.69805106
394	49.51414743
395	49.30755671
396	49.05748633
397	48.75169863
398	48.4591282
399	48.29428288
400	48.02948806
401	47.86881723
402	47.6722473
403	47.3327634
404	47.17764293
405	46.92754382
406	46.74446228
407	46.57374914
408	46.53395442
409	46.4429875
410	46.18805211
411	45.92737765
412	45.86789181
413	45.68603579
414	45.4995943
415	45.37862873
416	45.28066467
417	45.2391496
418	44.95348255
419	44.8132165
420	44.63458638
421	44.43446147
422	44.31486148
423	44.11382019
424	44.0285757
425	43.85121547
426	43.70209169
427	43.62076665
428	43.47949593
429	43.26237339
430	43.22511365
431	43.13917422
432	43.03713942
433	42.79927066
434	42.61455825
435	42.45628045
436	42.29056059
437	42.12211745
438	41.90110836
439	41.72549744
440	41.58574409
441	41.40048531
442	41.34817126
443	41.2346727
444	41.15968981
445	40.98370438
446	40.8615818
447	40.8194053
448	40.70400554
449	40.52750097
450	40.23348757
451	40.15920274
452	40.11273741
453	39.91898806
454	39.84983321
455	39.65536783
456	39.45968404
457	39.36986584
458	39.18587818
459	38.9409597
460	38.90926134
461	38.70358239
462	38.49301569
463	38.34284985
464	38.22977358
465	38.00745324
466	37.93885979
467	37.80279437
468	37.6727357
469	37.62891841
470	37.47297378
471	37.31838244
472	37.14731428
473	36.96605797
474	36.83586742
475	36.59761534
476	36.42012525
477	36.21842753
478	36.10787145
479	36.03698472
480	35.92420628
481	35.8947566
482	35.81247789
483	35.69818158
484	35.51246433
485	35.3281143
486	35.28580089
487	35.09345885
488	34.89404997
489	34.8343786
490	34.74372853
491	34.6876449
492	34.61969194
493	34.50417307
494	34.31890783
495	34.11038761
496	33.9919251
497	33.76648596
498	33.61528274
499	33.48123171
500	33.35303382
501	33.24466539
502	33.12965401
503	33.0431638
504	32.87672346
505	32.84208657
506	32.78870885
507	32.60123535
508	32.4453839
509	32.33088713
510	32.24863811
511	32.10097857
512	32.02751588
513	31.91152872
514	31.79938578
515	31.64026603
516	31.54808943
517	31.46006842
518	31.28265725
519	31.07992217
520	31.00441397
521	30.91280836
522	30.85499924
523	30.6902004
524	30.57783405
525	30.5537115
526	30.41718126
527	30.35735339
528	30.29519917
529	30.19248978
530	30.15626207
531	30.09241188
532	29.87830976
533	29.82972548
534	29.78301786
535	29.68476318
536	29.52283708
537	29.36155256
538	29.22662305
539	29.09763424
540	28.99995038
541	28.84055913
542	28.78032969
543	28.70063788
544	28.53607137
545	28.409454
546	28.31153326
547	28.18555051
548	28.09476277
549	27.95034811
550	27.77555951
551	27.64027656
552	27.57469005
553	27.52393851
554	27.38460028
555	27.28601911
556	27.11172503
557	27.02402735
558	26.86345198
559	26.76583566
560	26.64263981
561	26.50995581
562	26.4185658
563	26.32734874
564	26.13234792
565	26.02388419
566	25.93934992
567	25.82790457
568	25.78942955
569	25.65703726
570	25.5668208
571	25.50020948
572	25.4085069
573	25.26930204
574	25.17138862
575	25.07873271
576	25.04094197
577	24.95044532
578	24.81641821
579	24.74224932
580	24.62713332
581	24.49417096
582	24.46115301
583	24.31650023
584	24.23677181
585	24.14767384
586	24.05701726
587	24.01830302
588	23.91104818
589	23.86471871
590	23.81424993
591	23.74750947
592	23.70852254
593	23.62421855
594	23.5056316
595	23.38973542
596	23.27642342
597	23.19524581
598	23.12931635
599	23.07957362
600	22.99808929
601	22.9193992
602	22.89748788
603	22.82319726
604	22.75337185
605	22.69240815
606	22.58042655
607	22.53446713
608	22.4712923
609	22.38786413
610	22.28460742
611	22.20949538
612	22.15685549
613	22.04581007
614	22.01786277
615	21.93134946
616	21.78829987
617	21.72980001
618	21.64642945
619	21.56988225
620	21.43793279
621	21.40461322
622	21.30573479
623	21.22500812
624	21.19097351
625	21.11521885
626	21.00992345
627	20.93374412
628	20.83970816
629	20.8032506
630	20.7265608
631	20.67579042
632	20.63075455
633	20.58443793
634	20.47923072
635	20.45057941
636	20.39715783
637	20.31797786
638	20.28457479
639	20.21872667
640	20.14324168
641	20.10523659
642	19.97871629
643	19.91622549
644	19.82729104
645	19.80368196
646	19.74529348
647	19.69798801
648	19.65086504
649	19.59042256
650	19.54807242
651	19.49946945
652	19.38563115
653	19.31669064
654	19.2737107
655	19.1598678
656	19.06447628
657	18.96406723
658	18.8596887
659	18.76462916
660	18.70002026
661	18.6780744
662	18.61224793
663	18.49817895
664	18.43535657
665	18.32563331
666	18.26736905
667	18.22634137
668	18.1311153
669	18.09144306
670	18.05149257
671	17.97589081
672	17.88989843
673	17.83397537
674	17.78580131
675	17.70159265
676	17.63614858
677	17.56104721
678	17.43553314
679	17.36107884
680	17.28405819
681	17.22025475
682	17.17508328
683	17.10655644
684	17.05862805
685	16.96550101
686	16.9130616
687	16.84150465
688	16.80733123
689	16.78127684
690	16.74905539
691	16.71423927
692	16.67471656
693	16.63725205
694	16.6092016
695	16.54882915
696	16.45483406
697	16.39404853
698	16.32589883
699	16.25884813
700	16.21746216
701	16.19190753
702	16.15240109
703	16.11773316
704	16.07250848
705	16.0373644
706	15.9291871
707	15.83047832
708	15.77126028
709	15.71457868
710	15.62518996
711	15.52279278
712	15.47952053
713	15.40175565
714	15.34204769
715	15.2910143
716	15.22060784
717	15.17416227
718	15.09062187
719	15.07660707
720	15.02875058
721	14.9847056
722	14.91494535
723	14.86308318
724	14.78579194
725	14.71893239
726	14.66161222
727	14.60129955
728	14.55694957
729	14.50719154
730	14.4774271
731	14.43062785
732	14.38507022
733	14.3207476
734	14.30271945
735	14.24686396
736	14.21139143
737	14.11679236
738	14.0823812
739	14.03873455
740	14.01007095
741	13.92741501
742	13.84723529
743	13.76795566
744	13.68566817
745	13.64367753
746	13.59715417
747	13.53596111
748	13.46108151
749	13.40693308
750	13.32753139
751	13.28039187
752	13.23082237
753	13.20595728
754	13.1534069
755	13.11015323
756	13.06988552
757	13.00720725
758	12.95010419
759	12.91308365
760	12.85565416
761	12.82372447
762	12.81140269
763	12.78259803
764	12.72618084
765	12.68874543
766	12.63884499
767	12.59142637
768	12.56406236
769	12.54208573
770	12.47673624
771	12.44462761
772	12.39810269
773	12.39254186
774	12.34604095
775	12.29741498
776	12.24239231
777	12.22337776
778	12.21868562
779	12.1755145
780	12.15329432
781	12.10815157
782	12.06554869
783	12.00843056
784	11.97774616
785	11.96042054
786	11.93404807
787	11.9149438
788	11.87799103
789	11.82504406
790	11.76838706
791	11.72113143
792	11.68930644
793	11.6440382
794	11.59444971
795	11.54530621
796	11.50363003
797	11.45323208
798	11.40070608
799	11.39157919
800	11.36139644
801	11.3145146
802	11.26071519
803	11.23205752
804	11.20298106
805	11.15064867
806	11.08073508
807	11.05433472
808	11.01836069
809	10.97597385
810	10.92289179
811	10.88808739
812	10.84470075
813	10.80499507
814	10.79033348
815	10.73770402
816	10.71499907
817	10.70570176
818	10.67644126
819	10.64071566
820	10.6276492
821	10.561503
822	10.54956686
823	10.52782325
824	10.51473155
825	10.48055807
826	10.42146489
827	10.39117659
828	10.38608596
829	10.34009473
830	10.31722906
831	10.31268193
832	10.26329707
833	10.22038492
834	10.18569174
835	10.17530219
836	10.14791981
837	10.13990255
838	10.13485934
839	10.12399773
840	10.07329382
841	10.0274394
842	9.983137426
843	9.948062977
844	9.90148068
845	9.898199137
846	9.861168797
847	9.830991241
848	9.811293894
849	9.757584437
850	9.720482368
851	9.691820845
852	9.649172046
853	9.636407856
854	9.590830916
855	9.562190749
856	9.557590366
857	9.514098337
858	9.496154119
859	9.462679484
860	9.433355484
861	9.420498762
862	9.382715827
863	9.353019892
864	9.331788856
865	9.286853864
866	9.246192565
867	9.202250944
868	9.180131779
869	9.131162402
870	9.092761231
871	9.065112905
872	9.019635754
873	8.975907744
874	8.930880444
875	8.91895311
876	8.912665575
877	8.870669525
878	8.8553808
879	8.82532297
880	8.796917483
881	8.762732813
882	8.741723775
883	8.728745064
884	8.680557696
885	8.632323887
886	8.609308467
887	8.5835983
888	8.569871703
889	8.560580361
890	8.540492487
891	8.518402782
892	8.512623885
893	8.485836981
894	8.456178875
895	8.407494036
896	8.404798753
897	8.379635236
898	8.369275352
899	8.323345265
900	8.299614102
901	8.273858559
902	8.233366517
903	8.182826332
904	8.144765953
905	8.136153383
906	8.094144694
907	8.072061198
908	8.057216688
909	8.04517054
910	8.028000965
911	8.008831788
912	7.962981361
913	7.931280498
914	7.905652712
915	7.870286894
916	7.852595771
917	7.802720855
918	7.793733133
919	7.772731348
920	7.746358261
921	7.732117033
922	7.720465803
923	7.681660095
924	7.64930571
925	7.615441792
926	7.582223746
927	7.553434058
928	7.509214856
929	7.495511217
930	7.466584423
931	7.456685265
932	7.430054424
933	7.389271994
934	7.350303578
935	7.328014617
936	7.319091333
937	7.285114545
938	7.2467938
939	7.235596875
940	7.222641049
941	7.194412611
942	7.187837608
943	7.161196499
944	7.13542832
945	7.119815508
946	7.073376778
947	7.055242119
948	7.033958043
949	7.007857965
950	6.976163358
951	6.966782625
952	6.949669378
953	6.927483242
954	6.903804208
955	6.896416794
956	6.877943946
957	6.841730938
958	6.819499121
959	6.785123225
960	6.776120179
961	6.774073105
962	6.757494208
963	6.731427833
964	6.704008007
965	6.689010472
966	6.665451883
967	6.632839302
968	6.612750165
969	6.594472096
970	6.553824854
971	6.52420342
972	6.499683971
973	6.460750626
974	6.441253987
975	6.402711562
976	6.399722038
977	6.379736986
978	6.338128369
979	6.313920999
980	6.294541106
981	6.28148449
982	6.255925554
983	6.220034603
984	6.189836396
985	6.181420633
986	6.157934791
987	6.137201993
988	6.130508672
989	6.108126766
990	6.095304358
991	6.087872392
992	6.078901739
993	6.045895945
994	6.022682988
995	6.004551911
996	5.996843984
997	5.97393958
998	5.942412762
999	5.931789128
