iter	Passed	Remaining
0	0	483
1	0	429
2	1	438
3	1	400
4	1	385
5	2	360
6	2	345
7	2	343
8	3	337
9	3	328
10	3	325
11	3	321
12	4	313
13	4	311
14	4	310
15	5	311
16	5	309
17	5	306
18	5	307
19	6	307
20	6	305
21	6	310
22	7	311
23	7	314
24	8	313
25	8	308
26	8	311
27	9	317
28	9	331
29	10	352
30	11	357
31	11	361
32	12	364
33	12	366
34	13	368
35	13	370
36	14	364
37	14	365
38	14	364
39	15	362
40	15	362
41	15	364
42	16	364
43	16	362
44	16	360
45	17	362
46	17	364
47	18	365
48	18	367
49	19	367
50	19	365
51	20	366
52	20	365
53	20	366
54	21	365
55	21	365
56	22	365
57	22	363
58	22	363
59	23	362
60	23	362
61	23	362
62	24	364
63	24	364
64	25	364
65	25	365
66	26	365
67	26	366
68	27	366
69	27	367
70	28	368
71	28	366
72	28	363
73	29	365
74	29	365
75	30	365
76	30	365
77	31	366
78	31	366
79	31	364
80	32	363
81	32	362
82	32	362
83	33	362
84	33	361
85	33	361
86	34	361
87	34	361
88	35	365
89	36	371
90	37	373
91	37	373
92	38	375
93	39	375
94	39	375
95	39	374
96	40	375
97	40	377
98	41	377
99	41	377
100	42	377
101	42	377
102	43	377
103	43	377
104	44	376
105	44	376
106	45	375
107	45	375
108	45	374
109	46	373
110	46	373
111	47	374
112	47	375
113	48	373
114	48	371
115	48	369
116	48	368
117	49	367
118	49	366
119	50	367
120	50	367
121	51	367
122	51	367
123	51	367
124	52	366
125	52	366
126	53	365
127	53	363
128	53	363
129	54	363
130	54	363
131	55	362
132	55	362
133	56	362
134	56	362
135	57	362
136	57	362
137	58	362
138	58	363
139	59	363
140	59	363
141	59	361
142	60	361
143	60	361
144	61	359
145	61	358
146	61	357
147	61	356
148	62	355
149	62	354
150	63	355
151	63	355
152	64	355
153	64	356
154	65	358
155	66	358
156	66	356
157	66	356
158	67	355
159	67	355
160	67	354
161	68	353
162	68	352
163	68	351
164	69	350
165	69	350
166	70	350
167	70	350
168	71	350
169	71	348
170	71	348
171	72	348
172	72	348
173	73	348
174	73	347
175	74	346
176	74	345
177	74	344
178	75	345
179	75	345
180	76	345
181	76	345
182	77	345
183	77	345
184	78	346
185	79	346
186	79	346
187	80	346
188	80	346
189	81	346
190	81	346
191	82	346
192	82	346
193	83	345
194	83	345
195	84	345
196	84	345
197	85	345
198	85	344
199	86	344
200	86	344
201	87	343
202	87	343
203	87	342
204	88	342
205	88	340
206	88	339
207	89	339
208	89	339
209	90	338
210	90	337
211	90	337
212	91	337
213	92	338
214	92	338
215	93	338
216	93	338
217	94	337
218	94	336
219	94	336
220	95	335
221	95	335
222	96	335
223	96	334
224	97	334
225	97	333
226	97	333
227	98	333
228	98	333
229	99	332
230	99	331
231	99	330
232	100	329
233	100	328
234	100	327
235	101	327
